seed,method,median_nrmse,mean_mae
123,knn_k10,0.9669290733428868,193.9112376072256
123,knn_k5,0.9765129996423096,193.96847507698604
123,knn_k3,1.0024700716410684,197.18191511372552
123,softimpute,1.0004433910977868,196.02777130907205
123,masked_nmf,1.0146122221517198,207.2441744421608
123,mice,1.025374756509049,213.37860415752945
123,mice_extratrees,1.000699267341428,209.33050170220025
123,missforest,1.00176047545253,218.20945124929904
123,mean,1.0007995050620964,225.81942500295384
123,median,1.0439467355583418,172.81056056907735
456,knn_k10,0.9551104368068866,167.36791191291408
456,knn_k5,0.9954684072664864,170.59093740887351
456,knn_k3,0.994470394365796,178.53170227219107
456,softimpute,0.9260039539742227,191.25209685804657
456,masked_nmf,0.9931819653727348,200.65728828950853
456,mice,1.0143330288429144,214.90845774181693
456,mice_extratrees,0.9408366439378218,204.79074980695
456,missforest,0.962522314673218,208.37479224956587
456,mean,1.0027058277592544,223.7982991946473
456,median,1.0545009689932092,168.25903999125538
789,knn_k10,0.9435993805810988,161.83634995792812
789,knn_k5,0.9577834579358266,169.3877762846503
789,knn_k3,1.0045696341732775,175.7015590161213
789,softimpute,0.9831479198308165,195.62259397724446
789,masked_nmf,0.9762405113812216,181.1103360797646
789,mice,1.0182420323383423,196.57050785115152
789,mice_extratrees,0.9313104656609504,170.42203672878298
789,missforest,0.919947187593836,170.43051141672728
789,mean,1.002450326090926,206.56872840187617
789,median,1.056683532978911,145.54463620749638
1024,knn_k10,0.9579862291980844,181.0609446521344
1024,knn_k5,0.969564989905235,181.31267051209144
1024,knn_k3,1.0321304741280972,183.48725085516983
1024,softimpute,0.963310008068535,176.52672861219423
1024,masked_nmf,1.0162517312591852,188.32778103751147
1024,mice,1.0050127089555647,202.2873842254263
1024,mice_extratrees,0.9589543517073048,182.8816714988444
1024,missforest,0.9614493996712132,178.64312673705254
1024,mean,1.006045654076222,212.3979244352672
1024,median,1.049157840114724,153.480498442767
1337,knn_k10,0.975646189280479,158.27140676711656
1337,knn_k5,1.0075589296441,164.45994034368132
1337,knn_k3,1.0222313201595163,173.72001196281482
1337,softimpute,1.0824751635005865,215.05589060512077
1337,masked_nmf,1.0568131134827865,194.9467956714745
1337,mice,1.1318900593210206,212.11739240135392
1337,mice_extratrees,1.0347431761208377,198.86801993584868
1337,missforest,0.999073514045568,197.78617555382203
1337,mean,1.0026914845696526,207.5653584370682
1337,median,1.0611133245882662,147.2462312792113
2024,knn_k10,0.960328486384632,155.57941958457533
2024,knn_k5,0.9943253566852914,160.40623228967033
2024,knn_k3,1.0258753951555832,163.12405087492652
2024,softimpute,1.0023624977274364,197.60425056778394
2024,masked_nmf,1.0370646459113784,191.3622185622837
2024,mice,1.0187389281831365,215.6216663073333
2024,mice_extratrees,1.002035331070433,172.39927390661418
2024,missforest,0.9990283228980515,171.80326491031593
2024,mean,1.003094747577444,197.7671104068922
2024,median,1.0386547214571984,129.1498791259622
7,knn_k10,0.956528938947146,184.6451868966884
7,knn_k5,1.000123214056449,189.488764548812
7,knn_k3,1.0188497786521369,187.92988986394664
7,softimpute,1.0021764509668918,200.08154257622087
7,masked_nmf,0.9685030106562844,179.07387420025782
7,mice,1.1690050475429803,206.09624123750584
7,mice_extratrees,0.9371003586441112,222.06589446336685
7,missforest,1.001555717681706,219.7265292086546
7,mean,1.0008071988591072,202.18335734892108
7,median,1.049906779346041,137.7104254510954
99,knn_k10,0.9631671804252504,176.3321403115558
99,knn_k5,0.9771581729077468,187.3827221181086
99,knn_k3,0.9668661535482226,194.97644295082048
99,softimpute,0.9458903980764923,191.31493597255815
99,masked_nmf,0.9826092059197462,195.69992919057125
99,mice,1.0449465977670762,259.2820312880921
99,mice_extratrees,0.9548316768317524,177.10502613082122
99,missforest,0.954462925667108,189.0987064128432
99,mean,1.0009766851212625,213.02335810484016
99,median,1.0412130404411202,156.71017778010406
555,knn_k10,0.9559555157669608,165.14002928357988
555,knn_k5,0.9577144905716966,167.98858954096352
555,knn_k3,0.9812636892922506,171.3453702061501
555,softimpute,0.98051561889936,229.75799221403204
555,masked_nmf,0.9977257090045212,201.71040780916616
555,mice,1.0519387597728465,223.30787386260272
555,mice_extratrees,0.9879821131358248,185.54415153527896
555,missforest,0.9713952404363712,180.6848144241832
555,mean,1.001273429369097,225.08670809469464
555,median,1.0469128256378557,161.15348325011996
31337,knn_k10,0.9488397970269032,193.3475047019529
31337,knn_k5,0.9986263462191536,203.98287997064173
31337,knn_k3,1.0145995538224557,213.2156990055093
31337,softimpute,0.9200630576040923,210.76096117906079
31337,masked_nmf,0.983602603361292,210.16400959524623
31337,mice,1.0567150280448523,257.31453121550646
31337,mice_extratrees,0.9737708536554984,194.4680753349554
31337,missforest,1.0046306611744011,200.06858383261
31337,mean,1.0028560482600894,234.49440181296504
31337,median,1.0477481629491447,189.61251876554124
