seed,method,nrmse
123,pica,1.0387904954664475
456,pica,0.9827972719840284
789,pica,0.9677657069658565
1024,pica,0.9613088613451208
1337,pica,0.9873369082078439
2024,pica,0.954073836509942
7,pica,1.0149767011036372
99,pica,0.9394457033110397
555,pica,1.1219522305036758
31337,pica,0.9948186700574945
