method,clf_acc,clf_acc_std,clf_f1,clf_f1_std,cov_relerr,prec_relerr,rank_acc,rank_f1,rank_cov,rank_prec
median,0.7823580786026201,0.006062027404865343,0.6735754414432915,0.013174651847063353,224.51326996061638,0.9893916499690014,1.0,1.0,5.0,2.0
mean,0.771877729257642,0.0059775547098506725,0.6628400667403916,0.013611119728770256,224.47133370709216,0.9893848417839507,2.0,4.0,2.0,1.0
mice,0.7617467248908297,0.006268230701525141,0.6623481797808565,0.010875522563774026,225.34983119343397,0.9894482296884322,3.0,5.0,8.0,7.0
iterativesvd,0.7606986899563319,0.00567498942929195,0.6670619792088787,0.010534204109002914,224.54551678693687,0.9894354758747144,4.0,2.0,6.0,6.0
softimpute,0.760524017467249,0.00581950436644809,0.6629050898847997,0.011751016529560317,224.51228837297785,0.9894120443935875,5.0,3.0,4.0,4.0
pica,0.759650655021834,0.004954188619780508,0.6494614791420558,0.008973574746614543,224.49834260505767,0.9893963268475098,6.0,7.0,3.0,3.0
missforest,0.7530131004366812,0.006597596727436511,0.6503720271346943,0.012320488361103037,224.60445234611174,0.9894579115526589,7.0,6.0,7.0,8.0
knn_k10,0.7450655021834061,0.004064238430926641,0.6237391884377858,0.012577070355442223,246.34663993989997,0.9894338750831551,8.0,8.0,9.0,5.0
masked_nmf,0.5199126637554585,0.014856006726794085,0.36064448298231166,0.01789220292422623,2.506045296874926,159.6698827292181,9.0,9.0,1.0,9.0
