nutrient,obs_frac,has_usda_donor,oracle,donor,naive
Energy,1.0,True,1.4143560803439914,1.4503671716070514,3.6387115235304095
Protein,0.999,True,1.2077375005697,1.1920365306137413,81.83596332444642
Fat,0.999,True,1.0297093632860195,1.0297093632860195,70.46084617311405
Carbohydrate,1.0,True,1.3228526030343641,1.3193335936419037,27.9631955775895
Fiber,0.807,True,1.03067549165153,0.9912232225346106,215.9151647171972
Calcium,0.965,True,1.0027279468272763,1.0365349002225595,2.65101053235488
Phosphorus,0.965,True,1.1092898189272207,1.2246766777316884,3.8093336381453393
Iron,0.962,True,0.993010694346576,0.9957954465833936,169.01958061570798
Sodium,0.754,True,1.0318669538540814,1.722285145619769,1.436616032413973
Potassium,0.718,True,0.9891255004435001,1.0225843334004545,1.3696562059193613
Copper,0.694,True,1.257778513847499,0.9986646099372307,5.977395808750179
Zinc,0.697,True,0.9737433168740658,1.0410917325904827,290.05567938057175
Retinol,0.472,True,1.0496346496645317,1.092563428897183,1.0942563639287242
Beta_Carotene,0.592,True,1.0653365525287832,1.1309731049046796,1.057150769040433
Total_Carotenoids,0.53,False,1.0716910342838573,1.0716910342838573,1.0745711237702325
Thiamine,0.923,True,1.4014082942094566,1.000042304906017,160.22429701662472
Riboflavin,0.695,True,1.198527297869667,1.044936736351725,892.0636480466335
Niacin,0.704,True,1.1138704545804705,1.0932882285341452,172.95482382342098
Vitamin_C,0.748,True,1.0778558270569167,3.380223829470474,37.516357404742024
