method,clf_acc,clf_acc_std,clf_f1,clf_f1_std,rank_acc,rank_f1
pica,0.4544978165938865,0.005418289431910007,0.3910471488311861,0.009682906990432835,1.0,1.0
mean,0.44751091703056767,0.005572511727047636,0.3866735744206411,0.01064393260533426,2.0,2.0
mice,0.44331877729257646,0.0072277741525159644,0.37625066722981065,0.009112740707007372,3.0,4.0
softimpute,0.4389519650655022,0.005677975480237502,0.38012528221397685,0.009319518158415857,4.0,3.0
iterativesvd,0.4238427947598253,0.00676566277585285,0.3662325653505087,0.010370254944471389,5.0,5.0
missforest,0.4129257641921398,0.0037007856959699213,0.3621143380420184,0.006950813385085303,6.0,6.0
knn_k10,0.4045414847161572,0.003879669577632075,0.35749317023026694,0.003212747145854458,7.0,7.0
median,0.3986899563318777,0.007493180597515984,0.3553003317574941,0.010666919261206815,8.0,8.0
masked_nmf,0.3799126637554585,0.006574433648114239,0.24414155717617025,0.003924158559407419,9.0,9.0
