method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr,rank_nrmse,rank_acc,rank_f1,rank_cov,rank_prec
missforest,0.7408292494534221,0.7779635124045199,0.6858192928041926,0.19814577597455701,0.4825480407704383,1.0,1.0,1.0,1.0,4.0
pica,0.8542543866498837,0.7174438597195999,0.6135303112503077,0.2576362683330644,0.5120762604856266,2.0,5.0,6.0,3.0,5.0
knn_k10,0.8823007156496716,0.7330672420818245,0.6286766589459628,0.31196027312936636,0.3287411117294242,3.0,2.0,2.0,5.0,1.0
mice,0.9011748448142152,0.7159573259263936,0.6139303511356815,0.23249750179143244,0.6675878448007865,4.0,8.0,5.0,2.0,8.0
softimpute,0.9020484194633743,0.7162903512748852,0.6159372183885861,0.2832305906831086,0.5567468647687271,5.0,7.0,4.0,4.0,6.0
iterativesvd,0.9356822863801936,0.7191450072979018,0.6163146234623424,0.3410928471013368,0.5799742435695995,6.0,4.0,3.0,6.0,7.0
masked_nmf,0.9983814500421705,0.3320282619133702,0.25366043969513397,0.776513987172797,611.1712916710457,7.0,9.0,9.0,9.0,9.0
mean,1.0003115837354275,0.7165243814956586,0.5994839987882669,0.4255801522180205,0.43173200075296564,8.0,6.0,7.0,8.0,2.0
median,1.0254904946847858,0.7218826673400248,0.5990468055558933,0.42107975248502216,0.4419458629112613,9.0,3.0,8.0,7.0,3.0
