method,clf_acc,clf_acc_std,clf_f1,clf_f1_std,rank_acc,rank_f1
mean,0.6661135371179039,0.0051099789106206946,0.5177152935946674,0.016222548450423473,1.0,1.0
median,0.6655021834061136,0.0063914114701892535,0.5019195996166518,0.01302453140781058,2.0,7.0
pica,0.6641921397379913,0.004552109394792395,0.5079028301219074,0.012464536842457541,3.0,4.0
mice,0.6593886462882096,0.0049576088401532435,0.5060805292598505,0.011579467136541356,4.0,5.0
missforest,0.6570305676855895,0.00561568958574297,0.5100198979614532,0.009074265981795237,5.0,3.0
iterativesvd,0.6537117903930131,0.0042835339067138906,0.513989873203937,0.012353723466036824,6.0,2.0
knn_k10,0.6529257641921398,0.005291676398254089,0.4922119674679923,0.011072974423881492,7.0,8.0
softimpute,0.6523144104803493,0.005422198450116984,0.5053145755712602,0.006667779328905477,8.0,6.0
masked_nmf,0.5144978165938865,0.0034556420904160454,0.2659083951828175,0.002504327904565397,9.0,9.0
