clf_seed,method,clf_acc,clf_f1,cov_relerr,prec_relerr
0,mean,0.7720524017467248,0.6591195587373985,224.47133370709216,0.9893848417839508
1,mean,0.777292576419214,0.6638190460010696,224.47133370709216,0.9893848417839508
2,mean,0.7676855895196507,0.6694715263858007,224.47133370709216,0.9893848417839508
3,mean,0.7685589519650655,0.631358689343274,224.47133370709216,0.9893848417839508
4,mean,0.7668122270742359,0.6597704088471638,224.47133370709216,0.9893848417839508
5,mean,0.7746724890829695,0.6706325821146507,224.47133370709216,0.9893848417839508
6,mean,0.7781659388646288,0.6721235504517571,224.47133370709216,0.9893848417839508
7,mean,0.7799126637554586,0.6809055368342236,224.47133370709216,0.9893848417839508
8,mean,0.7606986899563318,0.652701085287116,224.47133370709216,0.9893848417839508
9,mean,0.7729257641921397,0.6684986834014626,224.47133370709216,0.9893848417839508
0,median,0.7729257641921399,0.6499118495669883,224.51326996061638,0.9893916499690015
1,median,0.7921397379912662,0.6965299404290562,224.51326996061638,0.9893916499690015
2,median,0.7825327510917031,0.6689274393906897,224.51326996061638,0.9893916499690015
3,median,0.7746724890829694,0.667722801187606,224.51326996061638,0.9893916499690015
4,median,0.7825327510917031,0.6695789113106139,224.51326996061638,0.9893916499690015
5,median,0.783406113537118,0.6812588039702802,224.51326996061638,0.9893916499690015
6,median,0.7851528384279476,0.6778254298347249,224.51326996061638,0.9893916499690015
7,median,0.7834061135371179,0.6605489670403855,224.51326996061638,0.9893916499690015
8,median,0.777292576419214,0.685176103034265,224.51326996061638,0.9893916499690015
9,median,0.7895196506550219,0.6782741686683049,224.51326996061638,0.9893916499690015
0,knn_k10,0.748471615720524,0.6251992198175212,246.34663993989997,0.9894338750831551
1,knn_k10,0.7475982532751092,0.6131881105736532,246.34663993989997,0.9894338750831551
2,knn_k10,0.743231441048035,0.6238177742734117,246.34663993989997,0.9894338750831551
3,knn_k10,0.74235807860262,0.6227698500450971,246.34663993989997,0.9894338750831551
4,knn_k10,0.7441048034934499,0.6129337863355868,246.34663993989997,0.9894338750831551
5,knn_k10,0.7528384279475983,0.6361354512114104,246.34663993989997,0.9894338750831551
6,knn_k10,0.748471615720524,0.6388946152982099,246.34663993989997,0.9894338750831551
7,knn_k10,0.7406113537117903,0.5992804096876413,246.34663993989997,0.9894338750831551
8,knn_k10,0.74235807860262,0.6377995254710187,246.34663993989997,0.9894338750831551
9,knn_k10,0.7406113537117903,0.6273731416643076,246.34663993989997,0.9894338750831551
0,softimpute,0.7528384279475983,0.6610103491530809,224.51228837297788,0.9894120443935875
1,softimpute,0.7703056768558951,0.6817514530744957,224.51228837297788,0.9894120443935875
2,softimpute,0.7606986899563319,0.6744455993205982,224.51228837297788,0.9894120443935875
3,softimpute,0.7572052401746725,0.659270606590906,224.51228837297788,0.9894120443935875
4,softimpute,0.7528384279475983,0.6395287946158462,224.51228837297788,0.9894120443935875
5,softimpute,0.765938864628821,0.6609475493483921,224.51228837297788,0.9894120443935875
6,softimpute,0.7659388646288209,0.673597766030775,224.51228837297788,0.9894120443935875
7,softimpute,0.7624454148471616,0.6574076477871702,224.51228837297788,0.9894120443935875
8,softimpute,0.7606986899563319,0.6645227633875337,224.51228837297788,0.9894120443935875
9,softimpute,0.7563318777292576,0.656568369539198,224.51228837297788,0.9894120443935875
0,masked_nmf,0.5240174672489083,0.3693222417436013,2.506045296874926,159.6698827292181
1,masked_nmf,0.519650655021834,0.3392608474244832,2.506045296874926,159.6698827292181
2,masked_nmf,0.5091703056768558,0.3572609820629393,2.506045296874926,159.6698827292181
3,masked_nmf,0.5213973799126638,0.353846229533619,2.506045296874926,159.6698827292181
4,masked_nmf,0.48733624454148466,0.3270107954956467,2.506045296874926,159.6698827292181
5,masked_nmf,0.5283842794759824,0.3647671740587159,2.506045296874926,159.6698827292181
6,masked_nmf,0.5327510917030568,0.37765664660787257,2.506045296874926,159.6698827292181
7,masked_nmf,0.537117903930131,0.38669826196459245,2.506045296874926,159.6698827292181
8,masked_nmf,0.508296943231441,0.35721865321009827,2.506045296874926,159.6698827292181
9,masked_nmf,0.5310043668122271,0.37340299772154784,2.506045296874926,159.6698827292181
0,mice,0.7650655021834061,0.6675799607411906,225.34983119343394,0.9894482296884322
1,mice,0.7746724890829695,0.6829174750643874,225.34983119343394,0.9894482296884322
2,mice,0.7519650655021834,0.6588131880402142,225.34983119343394,0.9894482296884322
