method,target,regressor,r2_mean,r2_std,rmse_mean
iterativesvd,Calcium,knr,0.41834326588944337,0.023062540177982822,243.05494887377685
iterativesvd,Calcium,rf,0.40620952629995327,0.07383507126353092,240.4844508213849
iterativesvd,Calcium,ridge,-0.2932216386497989,0.6997507205184277,322.88453454120673
iterativesvd,Carbohydrate,knr,0.8310398449379568,0.004300673784858943,10.152310432381942
iterativesvd,Carbohydrate,rf,0.9102511502878196,0.003875402183700541,7.352613890907099
iterativesvd,Carbohydrate,ridge,0.9488749696802907,0.004011281657659392,5.510181055085281
iterativesvd,Fat,knr,0.760330687488937,0.028389604564848406,6.432405177551985
iterativesvd,Fat,rf,0.9511875069691765,0.0035265808355067823,2.9335898444379978
iterativesvd,Fat,ridge,0.9475841435312498,0.031340687307435784,2.6313016108010854
iterativesvd,Iron,knr,0.020350282743614896,0.03881323528421278,5.4255571137323795
iterativesvd,Iron,rf,0.1290078067462599,0.027787861176553234,5.09739791599539
iterativesvd,Iron,ridge,-1.0573405952332209,0.4176969666793131,6.669270516821092
iterativesvd,Protein,knr,0.6629907547150834,0.009281133942847051,6.605703543108911
iterativesvd,Protein,rf,0.7046294961390617,0.004802837169173294,6.181000696840536
iterativesvd,Protein,ridge,0.7719066244354413,0.027911669719104592,5.287663284979837
iterativesvd,Vitamin_C,knr,0.18268978809903802,0.02067658297177711,23.16393765023079
iterativesvd,Vitamin_C,rf,0.2027091414469294,0.0087669989667779,22.87954130400351
iterativesvd,Vitamin_C,ridge,-0.16752466771876423,0.4036355590546004,26.099738059651976
knn_k10,Calcium,knr,0.4272193511034277,0.04387429844368164,239.6547729559354
knn_k10,Calcium,rf,0.3810757953577716,0.08336607109617183,244.59699952693865
knn_k10,Calcium,ridge,-0.12967356360586968,0.4560147769378358,309.3653233676108
knn_k10,Carbohydrate,knr,0.825144566796606,0.00879252835658879,10.350270305359155
knn_k10,Carbohydrate,rf,0.9113310040512989,0.0036594350753095784,7.340887823373103
knn_k10,Carbohydrate,ridge,0.9523822817014945,0.0015128981075114083,5.276104126710818
knn_k10,Fat,knr,0.7496776674925603,0.022630407408708166,6.574560029097432
knn_k10,Fat,rf,0.9501530237140565,0.002864162994017541,2.9730982895013014
knn_k10,Fat,ridge,0.9669011211305456,0.005390412322041934,2.3342253546387264
knn_k10,Iron,knr,0.016970358011284152,0.057133258132102856,5.41548754903088
knn_k10,Iron,rf,0.11644604131549627,0.0346598372471537,5.138409207256858
knn_k10,Iron,ridge,-0.635565910085916,0.22503635181461654,6.307715728249859
knn_k10,Protein,knr,0.6414256999216104,0.010963322521691393,6.819797068140107
knn_k10,Protein,rf,0.7024238431891348,0.006400160243385388,6.216791107885828
knn_k10,Protein,ridge,0.8118400483838808,0.011777632516886481,4.861151299914887
knn_k10,Vitamin_C,knr,0.13397825965630766,0.022703865664392007,23.81574478127161
knn_k10,Vitamin_C,rf,0.19564329786559082,0.022153953121062508,22.832798162189285
knn_k10,Vitamin_C,ridge,0.07134263744796432,0.04810592855877712,24.57782168873384
masked_nmf,Calcium,knr,-0.028593194040188712,0.08932710741480741,319.8667039707116
masked_nmf,Calcium,rf,0.04720101164949353,0.08625217413794455,308.7639928065927
masked_nmf,Calcium,ridge,0.09769080290465962,0.05563508091801711,305.42983793842353
masked_nmf,Carbohydrate,knr,0.5902354563356428,0.009236895478515413,15.881155849067628
masked_nmf,Carbohydrate,rf,0.617490590157939,0.009362695484252111,15.34840395446191
masked_nmf,Carbohydrate,ridge,0.2852015970902303,0.005682244157261848,21.039601347151525
masked_nmf,Fat,knr,0.5786021504517425,0.01159245779135416,8.6677835737548
masked_nmf,Fat,rf,0.6662694958701277,0.008280429479813514,7.7134824862192435
masked_nmf,Fat,ridge,0.24347048638405963,0.010663088371288638,11.82728548005493
masked_nmf,Iron,knr,-0.08483107443741264,0.047024126901396554,5.640053802611044
masked_nmf,Iron,rf,-0.10721506415410209,0.0865867116715879,5.681090683800626
masked_nmf,Iron,ridge,0.08397607642670883,0.008638575275098063,5.288149943883575
masked_nmf,Protein,knr,0.507333604147645,0.01719355893849126,8.03044968705114
masked_nmf,Protein,rf,0.5128613454979525,0.0131644051818079,7.977628522809921
masked_nmf,Protein,ridge,0.22431713108624876,0.005024018497161326,10.042455731124457
masked_nmf,Vitamin_C,knr,-0.09935122287457554,0.0323035084313176,26.736569454239856
masked_nmf,Vitamin_C,rf,-0.06626856870326507,0.042944191549884006,26.291913593879308
masked_nmf,Vitamin_C,ridge,0.0615572287164009,0.011171200297817655,24.936611176735333
mean,Calcium,knr,0.43905491592415274,0.037131919773114364,238.01092688739763
mean,Calcium,rf,0.3765098226655625,0.0881316988361946,244.80616851382337
mean,Calcium,ridge,-0.16297158075609686,0.4421961856608093,316.0070548547425
mean,Carbohydrate,knr,0.8061030300850451,0.004401426610428952,10.896370385062497
mean,Carbohydrate,rf,0.9199206475455035,0.0036829999094503962,6.96267446688867
mean,Carbohydrate,ridge,0.9432571954853634,0.007350887792293502,5.778691140770847
mean,Fat,knr,0.7260779899367295,0.03139339463327999,6.884928282196472
mean,Fat,rf,0.9526032419208457,0.003766238839465914,2.8939019855112695
