method,target,regressor,r2_mean,r2_std,rmse_mean
iterativesvd,Calcium,knr,0.4811081988802691,0.02786315174820404,230.82600381157755
iterativesvd,Calcium,rf,0.43863369335135294,0.0565849178383832,235.46156591939157
iterativesvd,Calcium,ridge,-0.3618363374698095,0.9099541961156177,316.1731152551944
iterativesvd,Carbohydrate,knr,0.8227744396600668,0.004677053955917939,10.41987978074214
iterativesvd,Carbohydrate,rf,0.9202370747729429,0.004618471174803717,6.9574782213090405
iterativesvd,Carbohydrate,ridge,0.9505733403086453,0.002833136729670073,5.3975162339159795
iterativesvd,Fat,knr,0.7421967824844593,0.028335466065354215,6.68452060031827
iterativesvd,Fat,rf,0.9470784504631906,0.002925931377719633,3.06293963673693
iterativesvd,Fat,ridge,0.9486245798329443,0.029610243756561034,2.626158822310485
iterativesvd,Iron,knr,0.056694834687674736,0.05351403565927463,5.342903142184072
iterativesvd,Iron,rf,0.19255157105361498,0.04968568103360081,4.9377241557627745
iterativesvd,Iron,ridge,-1.2450337901050161,0.4917231877198344,6.774639948981525
iterativesvd,Protein,knr,0.7423953028845311,0.0036787877620967197,5.77005774292655
iterativesvd,Protein,rf,0.7956150412531487,0.003283481938754872,5.125882113672769
iterativesvd,Protein,ridge,0.7392099154564438,0.026060440886158085,5.6046343328292
iterativesvd,Vitamin_C,knr,0.30164948285590476,0.020804483668152105,21.256352050540595
iterativesvd,Vitamin_C,rf,0.39132407356959364,0.0259534835279238,19.78317908248365
iterativesvd,Vitamin_C,ridge,0.05829224326306455,0.17036063797792325,24.087748079692382
knn_k10,Calcium,knr,0.4470958755773672,0.03810562008577781,236.6097251171869
knn_k10,Calcium,rf,0.39074833111042395,0.08534757270756771,242.5896794290215
knn_k10,Calcium,ridge,-0.19197418841380165,0.48059173152586926,314.4452594144824
knn_k10,Carbohydrate,knr,0.8380798986254856,0.004754992664042386,9.955287704804043
knn_k10,Carbohydrate,rf,0.9217636336438622,0.003908523048719707,6.8859245232425135
knn_k10,Carbohydrate,ridge,0.9529674027086494,0.0015769599981571374,5.241406417223372
knn_k10,Fat,knr,0.7550385805886615,0.022519491182060675,6.503249881652867
knn_k10,Fat,rf,0.9519365897573003,0.003621717155446664,2.917654740240264
knn_k10,Fat,ridge,0.9668990494123957,0.005417534382604484,2.3340754720613655
knn_k10,Iron,knr,0.04170852304036079,0.056999529956662215,5.360595681019759
knn_k10,Iron,rf,0.13063913227447446,0.03890013261639311,5.102256502647951
knn_k10,Iron,ridge,-0.5604161301491424,0.26220554422831727,6.135812213636944
knn_k10,Protein,knr,0.6819460987914314,0.01009867998488461,6.416032306414
knn_k10,Protein,rf,0.7551976089895993,0.007527560403770846,5.62503653519982
knn_k10,Protein,ridge,0.8149882357464504,0.006894383608187736,4.817487796090347
knn_k10,Vitamin_C,knr,0.18438151013602525,0.031217044870988593,23.12325022395536
knn_k10,Vitamin_C,rf,0.4484882064929415,0.02830556011022801,18.8324715796563
knn_k10,Vitamin_C,ridge,0.10148915536362409,0.03647330746139378,24.175049959361267
masked_nmf,Calcium,knr,0.1155829989980786,0.07569343523433072,300.7239876474681
masked_nmf,Calcium,rf,0.11647406383751784,0.10561161620312168,295.35188364344475
masked_nmf,Calcium,ridge,0.12750079255196764,0.06533296890077735,298.9621326963819
masked_nmf,Carbohydrate,knr,0.9865982796486417,0.0006567675396301685,2.835742837469677
masked_nmf,Carbohydrate,rf,0.9906093274407114,0.000498043528885411,2.3801509139666743
masked_nmf,Carbohydrate,ridge,0.9898489017173849,0.00013398500536590253,2.4905534647855694
masked_nmf,Fat,knr,0.6014438146443412,0.037631899815804226,8.382859762172222
masked_nmf,Fat,rf,0.6727780847733434,0.022292865965712852,7.648047074704236
masked_nmf,Fat,ridge,0.49019343651568,0.008137796664074068,9.676109018966283
