seed,method,frac,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr
123,mean,0.3,1.0002583976353119,0.707471788779787,0.5918629938534338,0.4526630987824617,0.42884522336396963
123,median,0.3,1.0187627724787407,0.7180322255443776,0.6037592237199648,0.4477171730498149,0.43614804812897834
123,knn_k10,0.3,0.9169824166436459,0.7246801070486444,0.6248653066021409,0.3473814281135344,0.3798905019076352
123,softimpute,0.3,0.8659688725107302,0.7168553791178626,0.6135785324181277,0.28993418425107315,0.8486048671641557
123,masked_nmf,0.3,0.9998446731171335,0.3351586695820014,0.26436505101199365,0.7823908839515111,703.2051451146233
123,mice,0.3,0.8036891923946632,0.7107957295319205,0.6003787501938013,0.2235963045256805,1.0195784729025594
123,iterativesvd,0.3,0.8853478115429794,0.7221339714932291,0.625379734040226,0.2865929385299544,0.9769320770702467
123,missforest,0.3,0.7817788678412418,0.7772783704732446,0.6792423409623909,0.23243882700319024,0.7040379110585903
123,pica,0.3,0.8083960472493925,0.7166589192218888,0.6149427773727638,0.2548650875628613,0.7144417110848116
456,mean,0.3,1.0001241731974724,0.7190084035863974,0.5937692415768984,0.45318461000313465,0.4432598841197202
456,median,0.3,1.0261355110384547,0.7236979988637081,0.5904381921793431,0.4485355272636038,0.45310381467143385
456,knn_k10,0.3,0.8960783207313612,0.7395376018884636,0.6343050277276692,0.34680713933927504,0.3405072879613392
456,softimpute,0.3,0.926997874354546,0.7100125680770842,0.604082892776011,0.3168994252185236,0.5139737114935826
456,masked_nmf,0.3,0.9961894550654262,0.31403760475788756,0.23275403418335605,0.7832566485838026,913.3431495813777
456,mice,0.3,0.9433408255213946,0.7141185225144572,0.6121983167346738,0.2526900543705434,0.6920633155877677
456,iterativesvd,0.3,0.9978205565835905,0.7072753288838133,0.6047220132120545,0.38274371006127283,0.56955193892627
456,missforest,0.3,0.7121381135178249,0.7757135779230344,0.6845398926255211,0.22038566663483994,0.5128095878010285
456,pica,0.3,0.8856296966861069,0.719205054777304,0.6135470257121318,0.28781683494411986,0.5741779609012451
