method,knr,rf,ridge,avg
mice,0.6443651077244174,0.6198838802325439,0.4724701910844332,0.5789063930137982
knn_k10,0.6202387814698286,0.579498656940509,0.47929705036828885,0.5596781629262089
pica,0.624702822781878,0.6203352636126194,0.3485510314351822,0.5311963726098932
missforest,0.626307762047666,0.6035267609604625,0.35678108249578144,0.5288718685013034
median,0.6204192733896924,0.613509467567076,0.3081599786147778,0.5140295731905155
mean,0.6112215824811954,0.6218728340036255,0.3040522456992725,0.5123822207280311
softimpute,0.6292334170388164,0.5663401706603506,0.3105956249638509,0.502056404221006
iterativesvd,0.6244901317232538,0.5642668536667167,0.30659135140270916,0.49844944559755994
masked_nmf,0.36607407667232145,0.4242958805244272,0.37674031572202227,0.3890367576395903
