missing_rate,knn_k10,softimpute,pica
5%,0.631,0.806,0.803
10%,0.721,0.833,0.834
15%,0.783,0.853,0.873
20%,0.850,0.868,0.848
25%,0.911,0.882,0.876
30%,0.966,0.888,0.870
35%,1.006,0.894,0.881
40%,1.051,0.920,0.901
45%,1.070,0.945,0.895
50%,1.080,0.972,0.916
