frac,seed,method,new,ref,delta
0.05,123,knn_k10,0.9733224084949078,0.9733224084949078,0.0
0.05,123,softimpute,0.9785389737195836,0.979338775913405,0.000799802193821364
0.05,123,masked_nmf,1.1021408206488328,1.1021408206488328,0.0
0.05,456,knn_k10,0.8562660101937949,0.8562660101937949,0.0
0.05,456,softimpute,0.9191511440867056,0.9200614656886634,0.0009103216019578086
0.05,456,masked_nmf,0.9632179637223944,0.9632179637223944,0.0
0.05,789,knn_k10,0.961811848608707,0.961811848608707,0.0
0.05,789,softimpute,0.9706132105352505,0.9829656931323724,0.01235248259712185
0.05,789,masked_nmf,1.0345012569971366,1.0345012569971366,0.0
0.05,1024,knn_k10,0.9954235460051272,0.9954235460051272,0.0
0.05,1024,softimpute,1.0345271696094918,1.0356952919594071,0.0011681223499153681
0.05,1024,masked_nmf,1.0574298515409073,1.0574298515409066,6.661338147750939e-16
0.1,123,knn_k10,0.9416406081823776,0.9416406081823776,0.0
0.1,123,softimpute,0.9787032229755999,0.9806318180689824,0.0019285950933825013
0.1,123,masked_nmf,1.0545758460037058,1.0545758460037058,0.0
0.1,456,knn_k10,0.9034438791496707,0.9034438791496708,1.1102230246251565e-16
0.1,456,softimpute,0.9233228498282134,0.9206860607171138,0.0026367891110996577
0.1,456,masked_nmf,0.9855226948520599,0.98552269485206,1.1102230246251565e-16
0.1,789,knn_k10,0.950468535090629,0.950468535090629,0.0
0.1,789,softimpute,0.950755722248338,0.9490806362236264,0.0016750860247116695
0.1,789,masked_nmf,0.9766289478571255,0.9766289478571254,1.1102230246251565e-16
0.1,1024,knn_k10,0.9682583189684202,0.9682583189684202,0.0
0.1,1024,softimpute,1.0318880081604769,1.0319414531596591,5.344499918225054e-05
0.1,1024,masked_nmf,1.005290351477824,1.005290351477824,0.0
0.15,123,knn_k10,0.9799603507024824,0.9799603507024824,0.0
0.15,123,softimpute,0.9986288715058533,0.9987015691620272,7.269765617390345e-05
0.15,123,masked_nmf,1.0317435024164399,1.03174350241644,2.220446049250313e-16
0.15,456,knn_k10,0.9154792419118322,0.9154792419118322,0.0
0.15,456,softimpute,0.9404061384531489,0.9420845047281888,0.001678366275039922
0.15,456,masked_nmf,0.9899180682541302,0.9899180682541302,0.0
0.15,789,knn_k10,0.9267619574447624,0.9267619574447624,0.0
0.15,789,softimpute,0.9613640784876506,0.983786000827956,0.022421922340305378
0.15,789,masked_nmf,0.980785649373844,0.980785649373844,0.0
0.15,1024,knn_k10,0.9740913472633816,0.9740913472633816,0.0
0.15,1024,softimpute,0.9901517117797383,0.988318838111309,0.0018328736684292135
0.15,1024,masked_nmf,1.0008374335012487,1.0008374335012489,2.220446049250313e-16
0.2,123,knn_k10,0.9669290733428867,0.9669290733428868,1.1102230246251565e-16
0.2,123,softimpute,0.9990543703540214,0.9986043783612336,0.00044999199278783486
0.2,123,masked_nmf,1.0146122221517198,1.0146122221517198,0.0
0.2,456,knn_k10,0.9551104368068866,0.9551104368068866,0.0
0.2,456,softimpute,0.9313830465152125,0.9297091951252104,0.0016738513900020902
0.2,456,masked_nmf,0.9931819653727347,0.9931819653727348,1.1102230246251565e-16
0.2,789,knn_k10,0.9435993805810989,0.9435993805810988,1.1102230246251565e-16
0.2,789,softimpute,0.9701118580971402,0.9734968231536418,0.0033849650565016542
0.2,789,masked_nmf,0.9762405113812215,0.9762405113812216,1.1102230246251565e-16
0.2,1024,knn_k10,0.9579862291980844,0.9579862291980844,0.0
0.2,1024,softimpute,0.9753909100594957,0.9782801462341004,0.0028892361746046813
0.2,1024,masked_nmf,1.0162517312591852,1.016251731259185,2.220446049250313e-16
0.25,123,knn_k10,0.9844865944511878,0.9844865944511878,0.0
