seed,method,frac,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr
123,mean,0.2,1.016570914063359,0.8,0.5938390150154855,0.4190826073136149,0.2621579544669733
123,median,0.2,1.061393113703143,0.7999999999999999,0.5940408908829962,0.423973702875731,0.2429353922632473
123,knn_k10,0.2,0.941165564726852,0.819047619047619,0.5970576264693912,0.37956014185470693,0.2865570458264991
123,softimpute,0.2,1.056195621330952,0.8095238095238095,0.5997467499820441,0.400877531178083,0.3402940356001938
123,masked_nmf,0.2,1.1366201031824927,0.6380952380952379,0.4428203169379639,0.6829514328821217,4.514407204388152
123,mice,0.2,1.0130445620701978,0.8476190476190475,0.6302466596584244,0.4864823019776948,0.27398935881428704
123,iterativesvd,0.2,1.165108060528335,0.7999999999999999,0.6017460190881243,0.46744259150048745,0.27379043440240725
123,missforest,0.2,0.9192403150390599,0.8095238095238095,0.6040031602384544,0.3311532236100328,0.3591963530144115
123,pica,0.2,1.1458391221294006,0.838095238095238,0.6080696863049804,0.4238322345206681,0.16864539304314552
456,mean,0.2,1.0315696571883848,0.838095238095238,0.6271223395341042,0.4823456609968957,0.22386721949321442
456,median,0.2,1.053825632699232,0.8476190476190475,0.6917905079669785,0.48375022556508823,0.20617454263011173
456,knn_k10,0.2,1.0007724893048593,0.8285714285714285,0.6290636596518949,0.4546381992896324,0.2007316820813835
456,softimpute,0.2,1.0087221361457581,0.8285714285714285,0.6246441140558787,0.39726172874576005,0.311137015566494
456,masked_nmf,0.2,1.1494344585552354,0.7047619047619047,0.43910925929280636,0.7792797372335671,82.20857372060277
456,mice,0.2,0.9354298394055772,0.8476190476190475,0.6574359736124442,0.3794172546449994,0.2824790856605362
456,iterativesvd,0.2,1.1695060643096937,0.8476190476190476,0.6651046720164367,0.5261599650249084,0.3055370852679053
456,missforest,0.2,1.00279579286864,0.8761904761904761,0.7112637362637363,0.40364681491328025,0.3006978807705069
456,pica,0.2,1.0226323966841417,0.8666666666666668,0.6809343053460701,0.46219924834596304,0.2149695283555474
789,mean,0.2,1.0278599573442928,0.8380952380952381,0.6314372664372665,0.316591846133663,0.21022693010988086
789,median,0.2,1.0588269258813332,0.8571428571428571,0.6608004979769686,0.31494420461599715,0.20509625529482148
789,knn_k10,0.2,0.9300757739595165,0.838095238095238,0.65142298877593,0.2385247285720863,0.1439387011966527
789,softimpute,0.2,1.4378934537459154,0.819047619047619,0.6052439782439782,0.3630475727346752,0.2677212419096311
789,masked_nmf,0.2,1.2220466628353905,0.6857142857142857,0.43195238541987757,0.7845778966598111,5.182275296245683
789,mice,0.2,1.4029664381224607,0.8285714285714285,0.6164128464128463,0.26109669819035575,0.3056404699076217
789,iterativesvd,0.2,1.5699382809505482,0.8285714285714285,0.6096128773187596,0.5944652433792997,0.2241144112077706
789,missforest,0.2,0.961346076139966,0.8476190476190476,0.6701171442936149,0.2333912894776152,0.2132499571720426
789,pica,0.2,1.1928685921289208,0.8285714285714285,0.6182683982683983,0.2905256137882873,0.12074506315779159
1024,mean,0.2,1.0259077379808528,0.8476190476190476,0.6270101575983928,0.5039804719766399,0.36523474054867544
1024,median,0.2,1.050633984895858,0.838095238095238,0.5951442457324811,0.5066133046493916,0.336407430596776
1024,knn_k10,0.2,0.914583209399552,0.838095238095238,0.6488247678247678,0.4769074707496009,0.5119207114966139
1024,softimpute,0.2,1.1568694085115596,0.8285714285714285,0.6199895311660018,0.6316195510085315,0.6469828816343887
1024,masked_nmf,0.2,1.0313526166610034,0.6571428571428571,0.42237962473256585,0.7512759510000588,45.68720798423019
1024,mice,0.2,1.0328491849154504,0.8476190476190475,0.6203121334003687,0.5267096586940526,0.568063009895812
1024,iterativesvd,0.2,1.132911459330276,0.838095238095238,0.6236258948023654,0.6906210210177788,0.5627577228012844
1024,missforest,0.2,1.0176768227205493,0.838095238095238,0.6146459694989106,0.5030863427808082,0.6972854231227555
1024,pica,0.2,1.0188864641103281,0.8285714285714285,0.6259712183241595,0.49858421929622404,0.516746681396816
1337,mean,0.2,1.0203176678695398,0.7714285714285714,0.5440099468814639,0.46884384005576696,0.2680092052919626
1337,median,0.2,1.0553793031834726,0.7619047619047619,0.527756694286106,0.48373185459174284,0.2553017154217433
