method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr,rank_nrmse,rank_acc,rank_f1,rank_cov,rank_prec
missforest,0.7980077048280756,0.7247758884214917,0.6210911837889466,0.2410999743805935,0.6745297467318129,1.0,1.0,1.0,1.0,4.0
pica,0.9060215433509364,0.65107676091768,0.5314062880890752,0.399060028585284,0.6932289390852645,2.0,4.0,3.0,4.0,5.0
mice,0.9139601721412804,0.6434499467243613,0.5244750889487177,0.2783671855127419,0.8648592652161178,3.0,6.0,6.0,2.0,8.0
softimpute,0.9258016615164923,0.6458761212274248,0.5292359300340246,0.3345774260250872,0.8075285997357124,4.0,5.0,5.0,3.0,7.0
iterativesvd,0.9728937584041217,0.641242154516569,0.5231354111784257,0.44016529018802253,0.7430075356255148,5.0,7.0,7.0,6.0,6.0
mean,1.0002945582118017,0.6612645551531985,0.5301366558853717,0.525115511585507,0.4862615027066252,6.0,3.0,4.0,8.0,2.0
knn_k10,1.0105523281847013,0.6161723796898344,0.49226764203216644,0.40678039808458183,0.4399929972715406,7.0,8.0,8.0,5.0,1.0
masked_nmf,1.0133652704995035,0.2832020858799471,0.2069787495572888,0.8028267363337612,282.27247010401777,8.0,9.0,9.0,9.0,9.0
median,1.02528087734621,0.6682841418413668,0.5338577991591746,0.5191189745500076,0.49178331069191666,9.0,2.0,2.0,7.0,3.0
