method,knr,rf,ridge,avg
mice,0.6443835204899631,0.6090820468270756,0.45737343823692844,0.5702796685179891
pica,0.6166330394982101,0.6113517646928205,0.34631886197134004,0.5247678887207902
knn_k10,0.6176468441508859,0.5926591094445691,0.35265735223247247,0.5209877686093092
missforest,0.6064979636274721,0.5909542607197629,0.351734439484237,0.5163955546104907
median,0.6204192733896924,0.613509467567076,0.3081599786147778,0.5140295731905155
mean,0.6112215824811954,0.6218728340036255,0.3040522456992725,0.5123822207280311
iterativesvd,0.6183047788003164,0.5826568294389219,0.3132525394676194,0.5047380492356193
softimpute,0.6265835992889597,0.5711756758744748,0.3059727763054649,0.5012440171562998
masked_nmf,0.27061745448933944,0.3288936259638595,0.18323099047199337,0.2609140236417307
