dataset,classifier,acc_mean,acc_std,f1_mean,f1_std
TKPI,rf,0.43344978165938863,0.005240902423992139,0.24162677546815153,0.0051156049317520455
TKPI,lr,0.379825327510917,0.005246720802052609,0.21947486181311002,0.004265078150540359
TKPI,nb,0.10026200873362445,0.004484016647333957,0.05958194934348689,0.003154571934543627
USDA,rf,0.21926049498501804,0.0010005573332565018,0.14549110299502377,0.0011159837054364975
USDA,lr,0.2018733578105843,0.0007560988874862814,0.12314797509500841,0.0011340390306743722
USDA,nb,0.04605382964129766,0.0007626825423139949,0.03869186293372113,0.0015209795642693055
