method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr,rank_nrmse,rank_acc,rank_f1,rank_cov,rank_prec
missforest,0.6626697646577555,0.816446141868148,0.7311847296549688,0.13581884474782152,0.26655784417643835,1.0,1.0,1.0,1.0,2.0
knn_k10,0.7870476377587299,0.7958161120070091,0.7042524458463404,0.2061309068315773,0.20394060880428305,2.0,2.0,2.0,4.0,1.0
pica,0.8265169508048913,0.7731144919302233,0.6843813534784579,0.22881438449179042,0.2922009286732926,3.0,6.0,6.0,5.0,4.0
mice,0.8267330766440137,0.7780609006548025,0.6911967284917493,0.15281837509156554,0.36996542508778024,4.0,3.0,3.0,2.0,7.0
softimpute,0.8561960341773276,0.7753626664983271,0.6864083963946094,0.1895281607417862,0.2912074770372235,5.0,5.0,5.0,3.0,3.0
iterativesvd,0.9035448047321294,0.7771419771861663,0.6896929437146598,0.23257235131051895,0.3073371046046397,6.0,4.0,4.0,6.0,5.0
masked_nmf,0.9924400606296203,0.37823377388556356,0.3013221793474321,0.7764025998435645,927.4600410240722,7.0,9.0,9.0,9.0,9.0
mean,1.0003643220066052,0.7670332642758626,0.6659747740095925,0.30260458337145163,0.36233167231168434,8.0,8.0,7.0,8.0,6.0
median,1.0276671310006957,0.7696531631573611,0.6600194813399302,0.29961949853511666,0.37547426975452913,9.0,7.0,8.0,7.0,8.0
