dataset,method,cov_relerr,prec_relerr
TKPI,mean,224.47133370709216,0.9893848417839508
TKPI,median,224.51326996061638,0.9893916499690015
TKPI,knn_k10,246.34663993989997,0.9894338750831551
TKPI,softimpute,224.51228837297788,0.9894120443935875
TKPI,masked_nmf,2.506045296874926,159.6698827292181
TKPI,mice,225.34983119343394,0.9894482296884322
TKPI,iterativesvd,224.5455167869369,0.9894354758747144
TKPI,missforest,224.60445234611174,0.9894579115526589
TKPI,pica,224.4983426050577,0.9893963268475098
USDA,mean,7.7511726393557305,0.8919856301239768
USDA,median,7.751832262439859,0.8920490120179754
USDA,knn_k10,7.821997117672745,0.8930637619809962
USDA,softimpute,7.754050020784422,0.8922455463745549
USDA,masked_nmf,0.779591506277006,2669.2195664659716
USDA,mice,7.823369466700077,0.8929284504886035
USDA,iterativesvd,7.757648392846501,0.8925717281274387
USDA,missforest,7.7915330711471675,0.893391086546833
USDA,pica,7.7591796544713825,0.8921905664437273
