method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr,rank_nrmse,rank_acc,rank_f1,rank_cov,rank_prec
knn_k10,0.9488073082034925,0.8295238095238094,0.6252059524697297,0.380902138344854,0.29339927125457427,1.0,4.0,3.0,1.0,4.0
missforest,0.9862308429328763,0.8476190476190476,0.6614604918358788,0.38898224098933737,0.3912923487614366,2.0,1.0,1.0,2.0,7.0
mean,1.028892655700361,0.8142857142857143,0.6005184046202622,0.4249413764708828,0.2665579349214574,3.0,8.0,8.0,3.0,2.0
median,1.0634760205220493,0.8209523809523809,0.6154724162948622,0.43007376665485897,0.24789190277316356,4.0,7.0,6.0,4.0,1.0
mice,1.0756148055103845,0.8314285714285713,0.6238009193821887,0.4585225159224452,0.37778579416220304,5.0,3.0,4.0,5.0,6.0
masked_nmf,1.081926962090106,0.6799999999999999,0.4437086061717862,0.739072696873342,34.147007650630556,6.0,9.0,9.0,9.0,9.0
pica,1.1263688267767509,0.8352380952380951,0.6280529103106502,0.47270899520848497,0.28229579994431103,7.0,2.0,2.0,6.0,3.0
softimpute,1.1520681661123748,0.8276190476190475,0.607947792947793,0.4941173411148738,0.39538893955321386,8.0,5.5,7.0,7.0,8.0
iterativesvd,1.2154577009904135,0.8276190476190475,0.616495520028647,0.5840915279187014,0.35524197385420997,9.0,5.5,5.0,8.0,5.0
