seed,method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr
123,mean,1.000381421182822,0.7581165483507507,0.6603948542727038,0.3355183355707688,0.3660511230343138
123,median,1.0254779021694156,0.760855317903484,0.6572240396900065,0.3326884961923788,0.3782570383121138
123,knn_k10,0.798492913587852,0.792530889349272,0.7037193953307082,0.2504518962902606,0.2463497886888706
123,softimpute,0.8231276672462903,0.7745403661002424,0.6883810220345847,0.2168288834786495,0.4373187732450136
123,masked_nmf,0.9933897404443726,0.3736770520685677,0.2917881462392565,0.7809072619561879,1067.6951630121084
123,mice,0.8818612737657607,0.7661333363940523,0.6807496938687266,0.1575903648736523,0.4496722676063028
123,iterativesvd,0.8630444520885766,0.7798195323604074,0.697757123801798,0.2261171022768343,0.4765832402101398
123,missforest,0.7125276475726219,0.8128668797692218,0.7267222417630993,0.1564685377568284,0.3528053296447158
123,pica,0.812293655688364,0.7647642385600848,0.6782055842238351,0.1669532198540576,0.29950574511233
456,mean,1.0001391667845052,0.7692604346603462,0.6726065035993152,0.328017799087459,0.3816972097748696
456,median,1.0269340903821496,0.7743448626789325,0.6679292702907258,0.3253000015487299,0.3953230359153143
456,knn_k10,0.7518269190946032,0.7976155086627911,0.7072646142319238,0.2310365065156328,0.1863119385150148
456,softimpute,0.8779296187248385,0.7688698104075921,0.6800185234297889,0.2182203727985969,0.2384561469181997
456,masked_nmf,0.9938063347256318,0.3713323500773788,0.2997502786731205,0.7783714510820186,1142.8113900417984
456,mice,0.8069510633996018,0.7788433543183875,0.6944679030377532,0.1397693305512922,0.2914026838856354
456,iterativesvd,0.9725151590425832,0.7698454145648135,0.6824486867206605,0.2797669238720555,0.2872305076036125
456,missforest,0.6115108477106531,0.8132575040219759,0.7245359109524069,0.1381566748113811,0.1953582760524939
456,pica,0.8145043387992889,0.7768883201052887,0.6887281664958808,0.1816584221185109,0.2504025933736139
789,mean,1.0004869813117463,0.7714123113592845,0.6716676339023877,0.3153286571649385,0.3413507280049603
789,median,1.0227376584242405,0.7790359883157054,0.6738682412445863,0.311753712741369,0.353026928330038
789,knn_k10,0.7857006850447664,0.796245071764294,0.7013028140862951,0.2142300272802908,0.2052103978735681
789,softimpute,0.8876477077963975,0.7743469669231932,0.6892904032846653,0.2023758755331865,0.4084113659083755
789,masked_nmf,0.9973188273381316,0.376806637168988,0.3007500283049806,0.7767871649998828,1054.1436400614398
789,mice,0.8359289750546486,0.780406807804068,0.6909201931049537,0.175163771202868,0.5073524684283681
789,iterativesvd,0.93409803882351,0.7729771039094946,0.6919388382057905,0.2397625783039622,0.393248328085941
789,missforest,0.6532598884567425,0.8171694853975012,0.7367295221671165,0.1364521526862517,0.3997655307001094
789,pica,0.8387745063490241,0.7764976958525345,0.6912428399929685,0.1842380020837661,0.4271510050224774
1024,mean,1.000381078117473,0.7673084611661721,0.6607188033803006,0.2546645535024961,0.3717223941848631
1024,median,1.031516893868869,0.7743479233978571,0.6556999348291676,0.2514280913099128,0.3851900892153738
1024,knn_k10,0.7364234212184222,0.800936962580798,0.7081326507095698,0.1423993280001948,0.2017789298472186
1024,softimpute,0.8366724150936353,0.7772799008327068,0.6891106130151377,0.1385293877170539,0.1601214348358961
1024,masked_nmf,0.9799428563197644,0.3867792246051194,0.3071374613598812,0.777610120166081,963.6755481175348
1024,mice,0.8936189334151079,0.7829460567419029,0.6961681477715975,0.1172414427010368,0.2572838956437652
1024,iterativesvd,0.8946813193075631,0.7823639462614275,0.692636635758172,0.2283080445053241,0.2002244490751669
1024,missforest,0.6146637262153023,0.8261643644321506,0.7381012788838055,0.0856392650937782,0.1446858394921893
1024,pica,0.8305689536579619,0.7749317555327278,0.6860876857978067,0.1349614215317074,0.1771936991907118
1337,mean,1.000205008924794,0.7714157546680747,0.6687576602619595,0.3604719325329342,0.344845287613475
1337,median,1.0244890817086705,0.7702413950756858,0.6572240455104446,0.3584302656101384,0.3578743010111433
1337,knn_k10,0.7985860891563608,0.797811777263832,0.711722709597313,0.2741197152404911,0.2268395806921037
1337,softimpute,0.8272000442661432,0.7747366347012834,0.680412089486339,0.2303802993280876,0.4065214539789018
1337,masked_nmf,0.9915071769886854,0.3826677226146956,0.3166214358654421,0.7804263049409983,1442.8182408924172
