missing_frac,knn_mean,si_mean,delta_mean,W,p_unadj,HL_shift,CI_lo,CI_hi,p_holm,sig_holm
0.05,0.9163801179752126,0.9867097721378361,-0.07032965416262352,0.0,0.001953125,-0.05778363655286611,-0.12657831310153128,-0.02423344728553628,0.01953125,True
0.1,0.9264352570415062,0.977920856521225,-0.051485599479718515,0.0,0.001953125,-0.04786815932362026,-0.0812178552770434,-0.020030687323319196,0.01953125,True
0.15,0.9435918950980933,0.974992072485455,-0.03140017738736191,11.0,0.10546875,-0.02542101094576521,-0.07948423731930193,0.008934536032314422,0.31640625,False
0.2,0.9584091227760329,0.980638845974622,-0.022229723198589235,11.0,0.10546875,-0.02243615906008406,-0.044776095935674776,0.005976501739153706,0.31640625,False
0.25,0.9865742765680379,0.9840664117412198,0.0025078648268181403,25.0,0.845703125,0.0030118929715646225,-0.01384368231558103,0.0183423902276606,0.845703125,False
0.3,1.0248703867277598,0.9898587230965571,0.03501166363120264,0.0,0.001953125,0.03251409401309374,0.01873534035113844,0.0540660519079737,0.01953125,True
0.35,1.0436028987427495,1.0030405124080108,0.04056238633473872,1.0,0.00390625,0.03930001529432808,0.016479453418853318,0.0632035893996985,0.01953125,True
0.4,1.0814509965596295,1.015352500595581,0.06609849596404861,0.0,0.001953125,0.06573232801515028,0.036179456176494984,0.09657778588931881,0.01953125,True
0.45,1.115276654903791,1.0268588671500356,0.08841778775375506,0.0,0.001953125,0.08195133653967346,0.06009814409767844,0.12543162775344696,0.01953125,True
0.5,1.1454325684372537,1.0494917108216424,0.09594085761561129,0.0,0.001953125,0.09504505848408817,0.07080188773679452,0.12201772133804867,0.01953125,True
