seed,method,median_nrmse,median_mae
123,knn_k10,0.9669290733428867,12.380176729159398
123,knn_k5,0.9765129996423096,11.591224697670881
123,knn_k3,1.0024700716410684,11.59083914639226
123,softimpute,0.9991160012273762,14.808736140431444
123,masked_nmf,1.0146122221517198,15.39175699420628
123,mice,1.025374756509049,14.240723209519881
123,mice_extratrees,1.000699267341428,13.243823899371069
123,missforest,1.00176047545253,7.892184905660378
123,mean,1.0007995050620964,15.433220720720714
123,median,1.0439467355583418,11.616216216216216
456,knn_k10,0.9551104368068866,16.170960950499122
456,knn_k5,0.9954684072664863,17.30257688817385
456,knn_k3,0.994470394365796,18.826147887848126
456,softimpute,0.9309098311305404,14.542474374700493
456,masked_nmf,0.9931819653727347,15.365230511139544
456,mice,1.0143330288429144,14.674137064238277
456,mice_extratrees,0.9408366439378218,14.93707317073171
456,missforest,0.9625223146732179,14.15298780487805
456,mean,1.0027058277592544,20.844391613275857
456,median,1.0545009689932092,13.146341463414634
789,knn_k10,0.9435993805810989,15.817998960388818
789,knn_k5,0.9577834579358266,16.622959667497938
789,knn_k3,1.0045696341732777,17.516460911816456
789,softimpute,0.9730514878168708,13.351024890192141
789,masked_nmf,0.9762405113812215,14.55281413207126
789,mice,1.0182420323383425,14.620291411554192
789,mice_extratrees,0.9313104656609503,13.915280898876405
789,missforest,0.9199471875938359,11.795786516853934
789,mean,1.0024503260909259,20.312019920018116
789,median,1.056683532978911,18.608189655172417
1024,knn_k10,0.9579862291980844,12.353233540351066
1024,knn_k5,0.969564989905235,11.925181211175211
1024,knn_k3,1.0321304741280972,12.0622963419089
1024,softimpute,0.975101667366738,13.992261744250984
1024,masked_nmf,1.0162517312591852,14.045603134913732
1024,mice,1.0050127089555647,14.212428149779125
1024,mice_extratrees,0.9589543517073048,8.445751282051283
1024,missforest,0.9614493996712132,7.031660256410254
1024,mean,1.006045654076222,15.017136451185689
1024,median,1.0491578401147241,11.67027027027027
1337,knn_k10,0.975646189280479,13.225834169880017
1337,knn_k5,1.0075589296441,14.040726078232776
1337,knn_k3,1.0222313201595163,14.689950469778331
1337,softimpute,1.094812743246433,15.774379845039999
1337,masked_nmf,1.0568131134827863,15.487923395707776
1337,mice,1.1318900593210206,15.190708932060968
1337,mice_extratrees,1.0347431761208377,9.478354216867467
1337,missforest,0.9990735140455681,7.825764444444447
1337,mean,1.0026914845696526,15.956651981534984
1337,median,1.0611133245882662,12.26842105263158
2024,knn_k10,0.9603284863846321,11.368340348848362
2024,knn_k5,0.9943253566852914,11.89526365910758
2024,knn_k3,1.0258753951555832,12.341114603847464
2024,softimpute,1.003569252660805,15.05055904002351
2024,masked_nmf,1.0370646459113784,13.174206101453453
2024,mice,1.0187389281831365,14.820711946384833
2024,mice_extratrees,1.002035331070433,12.195935483870967
2024,missforest,0.9990283228980517,10.668369942196527
2024,mean,1.003094747577444,13.864212848083808
2024,median,1.0386547214571984,10.761290322580646
7,knn_k10,0.9565289389471459,15.592370350798191
7,knn_k5,1.000123214056449,12.824876287353643
7,knn_k3,1.0188497786521369,15.768566958162134
7,softimpute,1.0021606716595877,16.69779553804895
7,masked_nmf,0.9685030106562843,14.01194296762403
7,mice,1.1690050475429805,13.675939487794665
7,mice_extratrees,0.9371003586441113,10.65940476190476
7,missforest,1.001555717681706,11.873928571428571
7,mean,1.0008071988591072,14.424968899025501
7,median,1.049906779346041,11.363095238095237
99,knn_k10,0.9631671804252503,15.409310676628415
99,knn_k5,0.9771581729077468,16.244446843994833
99,knn_k3,0.9668661535482226,17.553548930893925
99,softimpute,0.9471767476310808,19.32825327407966
99,masked_nmf,0.9826092059197462,14.104970486394533
99,mice,1.0449465977670762,12.997733979007688
99,mice_extratrees,0.9548316768317523,12.895414634146338
99,missforest,0.9544629256671079,14.301141304347825
99,mean,1.0009766851212623,18.90311391132923
99,median,1.0412130404411202,11.690217391304348
555,knn_k10,0.9559555157669608,11.144407188061301
555,knn_k5,0.9577144905716966,13.12117985711599
555,knn_k3,0.9812636892922506,14.498738599343964
555,softimpute,0.9635961272809608,13.495389714476616
555,masked_nmf,0.9977257090045212,13.866356652351131
555,mice,1.0519387597728465,11.380663024537796
555,mice_extratrees,0.9879821131358248,11.068598726114649
555,missforest,0.9713952404363713,12.586369426751595
555,mean,1.001273429369097,17.43922687338495
555,median,1.0469128256378557,10.9171974522293
31337,knn_k10,0.9488397970269032,13.56873453216319
31337,knn_k5,0.9986263462191537,14.0584999919094
31337,knn_k3,1.0145995538224557,14.181908187951173
31337,softimpute,0.9227687197747079,16.79752063554698
31337,masked_nmf,0.9836026033612921,16.661575189576368
31337,mice,1.0567150280448523,14.37908496288629
31337,mice_extratrees,0.9737708536554983,11.743818181818181
31337,missforest,1.0046306611744011,10.185783229813664
31337,mean,1.0028560482600894,17.032002101944293
31337,median,1.0477481629491447,13.566666666666666
