method,clf_acc,clf_acc_std,clf_f1,clf_f1_std,rank_acc,rank_f1
mean,0.6581941618545182,0.0019334667997193008,0.5719038575262854,0.002116335149529104,1.0,1.0
knn_k10,0.6517388454631313,0.0010566830946069623,0.5619301605267346,0.0022218883228124556,2.0,2.0
pica,0.6471449474293535,0.002121046878584889,0.560642449267278,0.0031287416306199608,3.0,3.0
mice,0.645130275900173,0.00230892140404778,0.5590092381444723,0.0025926565421931884,4.0,4.0
missforest,0.6438342606308478,0.002092945170388526,0.5574857264703155,0.0024183452641771117,5.0,5.0
softimpute,0.6424616187757367,0.002387680839798521,0.5566642572923578,0.0024868940261985823,6.0,6.0
median,0.6390996582022808,0.0016198089248137296,0.5530642769633662,0.0021948370902844733,7.0,7.0
iterativesvd,0.6355965650605495,0.0018174777480707122,0.5478352730569517,0.002043024538249852,8.0,8.0
masked_nmf,0.34661931507063626,0.0010492319524664584,0.16047357887303845,0.0011900149229863845,9.0,9.0
