method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr,rank_nrmse,rank_acc,rank_f1,rank_cov,rank_prec
knn_k10,0.9649856065382293,0.8133333333333332,0.596828673258859,0.4454841015908695,0.3932207055753446,1.0,3.0,2.0,1.0,3.0
missforest,0.9819038733146911,0.8228571428571427,0.6116981689735559,0.44798052113258524,0.54144117372365,2.0,1.0,1.0,2.0,6.0
masked_nmf,1.0144320250399896,0.6580952380952381,0.43035746471328074,0.7443203038685724,31.902090200389353,3.0,9.0,9.0,9.0,9.0
mean,1.016399495832646,0.7895238095238095,0.5692943066049877,0.5018724287599748,0.41269152774407286,4.0,7.0,8.0,4.0,4.0
median,1.0485205173569387,0.7895238095238095,0.5716738983697188,0.5032603188968212,0.38201226896335283,5.0,7.0,6.0,5.0,2.0
mice,1.068572203020595,0.8152380952380952,0.5950705429360228,0.5090380429760389,0.5036167204740167,6.0,2.0,3.0,6.0,5.0
softimpute,1.101197268425779,0.8104761904761905,0.5942345839345838,0.5646154296814597,0.5673626091887025,7.0,4.0,4.0,7.0,8.0
iterativesvd,1.1677999276897502,0.8,0.5794541167295038,0.7111237637089336,0.5461743409972627,8.0,5.0,5.0,8.0,7.0
pica,1.1909535926874997,0.7895238095238095,0.5716682984026636,0.4986980145132451,0.37367678201175036,9.0,7.0,7.0,3.0,1.0
