method,clf_acc,clf_acc_std,clf_f1,clf_f1_std,rank_acc,rank_f1
mean,0.43630179149433373,0.0016700088377770402,0.3846450040829018,0.0024756131624856016,1.0,1.0
pica,0.43449230564011526,0.0018133653595589043,0.377809428368448,0.001824759621545385,2.0,2.0
mice,0.43012919311529973,0.0017634399640762616,0.37275289843167325,0.0020419480342966623,3.0,3.0
softimpute,0.42325159062333,0.00214946122450563,0.3638691812164098,0.0027161777656778104,4.0,5.0
missforest,0.42194217023025027,0.002091534864590851,0.36844904218246033,0.0025285804407082944,5.0,4.0
iterativesvd,0.41515450887266037,0.0020941854448445103,0.3571924674665447,0.0024636869472287127,6.0,6.0
knn_k10,0.41294748863899294,0.0026376232072126663,0.33278076673057466,0.002124428363981191,7.0,8.0
median,0.4121778220955634,0.0015948277036457077,0.3339416483387785,0.002706617756841213,8.0,7.0
masked_nmf,0.32371385330611685,0.001044032314416816,0.18642126722659963,0.0012791041135840355,9.0,9.0
