clf_seed,method,clf_acc,clf_f1
0,mean,0.43616188580777815,0.38548528229158885
1,mean,0.4366737178056767,0.3854254707436693
2,mean,0.43975253219329397,0.3879070801782726
3,mean,0.43757238807997956,0.3875148195624044
4,mean,0.43603376312619335,0.3857183077604834
5,mean,0.43577471816715396,0.38213337074728293
6,mean,0.43372327312280917,0.3814740864323495
7,mean,0.4342352698028179,0.38054192162731104
8,mean,0.4364166490319574,0.3848464850278474
9,mean,0.4366737178056767,0.38540321645780873
0,median,0.4133206418320555,0.3357076852937505
1,median,0.4122928607835081,0.33420303801469936
2,median,0.41280576321512175,0.3384332563612612
3,median,0.4097297484233747,0.33063044031630084
4,median,0.4108825231934167,0.3310692751257484
5,median,0.4142182416726433,0.3364525249450392
6,median,0.4138346970384393,0.3346523538085083
7,median,0.4120352979634587,0.3319722105620011
8,median,0.40972645478117453,0.3307596372863223
9,median,0.41293199205244135,0.3355360616741537
0,knn_k10,0.41241991303137765,0.3340962899048134
1,knn_k10,0.4152435524895406,0.3347368487649247
2,knn_k10,0.4161411523301283,0.3343056080769778
3,knn_k10,0.41447736897273774,0.3336737579222399
4,knn_k10,0.41178094644455443,0.33193031865445394
5,knn_k10,0.41563014374277973,0.33490118177467065
6,knn_k10,0.4097253020064045,0.32798305730978866
7,knn_k10,0.4107533300781169,0.3313886896044227
8,knn_k10,0.40870114396427715,0.33153926109801574
9,knn_k10,0.4146020333300123,0.33325265419543904
0,softimpute,0.42243209127341264,0.3652140762701495
1,softimpute,0.42653596945476224,0.3675934126033259
2,softimpute,0.4235833015634096,0.3638264639104573
3,softimpute,0.42204681747705364,0.3626833600802945
4,softimpute,0.4220472291823286,0.3628813878279825
5,softimpute,0.423841358429789,0.3636383198692742
6,softimpute,0.42063409199636714,0.3599771953585683
7,softimpute,0.420632774539487,0.359864714058503
8,softimpute,0.4239698104755937,0.36524364003128895
9,softimpute,0.4267924618410966,0.3677692421542541
0,masked_nmf,0.32336657990664175,0.1858827980216349
1,masked_nmf,0.3223413514307993,0.1855111654779081
2,masked_nmf,0.32336888545618175,0.18525563247531568
3,masked_nmf,0.32439296115725413,0.18755919195879073
4,masked_nmf,0.32465241782156856,0.18643001028653927
5,masked_nmf,0.32387824722243036,0.18713682097073286
6,masked_nmf,0.32208527074974,0.1842823740077723
7,masked_nmf,0.32554861786422123,0.18880667141242152
8,masked_nmf,0.3233674033171917,0.18682939388722097
9,masked_nmf,0.3241367981351398,0.18651861376766
0,mice,0.42948962543877495,0.37322489530575315
1,mice,0.43192535618681865,0.3751842391337041
2,mice,0.43102586250196595,0.3741286470639017
3,mice,0.4321844011458581,0.37530723424060247
4,mice,0.4275645739138597,0.371198495925981
5,mice,0.432181848573153,0.3738124891100873
6,mice,0.42935853847921013,0.3704812882281672
7,mice,0.4279467187501286,0.37074811302237676
8,mice,0.42858897897915205,0.36970563017481645
9,mice,0.4310260271840759,0.37373795211134264
0,iterativesvd,0.4142182416726433,0.3573929824120713
1,iterativesvd,0.4180670272655935,0.36044606465672213
2,iterativesvd,0.41588424823851894,0.3568588759021414
3,iterativesvd,0.4180694974972436,0.36164617392712206
4,iterativesvd,0.4131922721273059,0.35566623602315134
5,iterativesvd,0.414730979422147,0.3555266796124784
6,iterativesvd,0.4139611728989239,0.35499628833320346
7,iterativesvd,0.4129328154629913,0.35481493654797996
8,iterativesvd,0.41293405057881644,0.3552319512958111
9,iterativesvd,0.41755478356241993,0.35934448595476615
0,missforest,0.4221746107944183,0.3704048447102653
1,missforest,0.42435500193089776,0.37090542182163627
2,missforest,0.4237112595628843,0.37110182739432707
3,missforest,0.4229445819997514,0.370671616243769
4,missforest,0.41819539697034325,0.3643385971702052
5,missforest,0.42319876883654556,0.36829844014569163
6,missforest,0.4212742936990154,0.3675767151888232
7,missforest,0.41973583342733933,0.36626333822775353
8,missforest,0.4198632150394291,0.36508644099735055
9,missforest,0.4239687400418787,0.3698431799247811
0,pica,0.434238563445018,0.3788082433199095
1,pica,0.4362887733735377,0.3797170871508123
2,pica,0.4365445246903771,0.3788101316265962
3,pica,0.4343641335538976,0.3779579795060661
4,pica,0.4333387403959453,0.3786393007319543
5,pica,0.435774141779769,0.37902945350399986
6,pica,0.4334653809385398,0.3760902067443344
7,pica,0.4326953273921517,0.3757645881911887
8,pica,0.43141228907309503,0.3741635952526924
9,pica,0.43680118175882143,0.3791136976569261
