method,scenA_mean,scenA_std,scenB_mean,scenB_std
knn_k10,0.9584,0.0090,0.9919,0.0148
mice_extratrees,0.9722,0.0337,1.2537,0.1720
missforest,0.9776,0.0283,1.0470,0.0377
softimpute,0.9806,0.0470,0.9989,0.0284
knn_k5,0.9835,0.0181,1.0203,0.0265
mean,1.0024,0.0016,1.0027,0.0019
masked_nmf,1.0027,0.0283,1.0236,0.0221
knn_k3,1.0063,0.0207,1.0494,0.0444
median,1.0490,0.0070,1.0404,0.0084
mice,1.0536,0.0545,0.9688,0.0207
