seed,method,median_nrmse,mean_mae
123,knn_k10,0.98343671230519,219.75240891547315
123,knn_k5,1.0115737436119914,213.237910242582
123,knn_k3,1.0762419376685488,212.6621342438348
123,softimpute,1.0023045122110799,245.42001556488626
123,masked_nmf,1.036651105736755,268.29900605575347
123,mice,0.9798720515893116,244.56382273852776
123,mice_extratrees,1.2206267184091566,345.8773399180299
123,missforest,1.0248985542706663,304.28063560691135
123,mean,1.001476237556446,281.4659854881181
123,median,1.0340561606800185,203.54846173995
456,knn_k10,1.0074658110175003,211.62738896888885
456,knn_k5,1.0704257015429226,212.6593826990241
456,knn_k3,1.1452375289527983,216.7461786532993
456,softimpute,0.9698735679453536,197.08991969834307
456,masked_nmf,0.9897052064725104,225.82610734188447
456,mice,0.9567103602333796,226.0699908545625
456,mice_extratrees,1.1898270895316283,345.7066147235004
456,missforest,1.0271504805418843,293.32967966171043
456,mean,1.002830922338631,269.9730830254676
456,median,1.039675176479506,170.36143195313596
789,knn_k10,0.9977620169008964,243.61021154465465
789,knn_k5,1.015402518385546,237.6422358229763
789,knn_k3,1.0376315220582848,242.5426752311878
789,softimpute,1.0017793577827372,256.6347780733621
789,masked_nmf,1.031347046934326,274.45747203952214
789,mice,0.9620577674915792,275.01050954478467
789,mice_extratrees,1.488623972750093,376.16073120885
789,missforest,1.0636896243824414,304.3309280692438
789,mean,1.0072382417135015,295.19907546737585
789,median,1.046129910643124,224.25949597323483
1024,knn_k10,0.9917946287610888,239.5179940239079
1024,knn_k5,0.9992075178795524,241.44494802816263
1024,knn_k3,1.0191629284668438,248.7552016700737
1024,softimpute,1.0133466078631275,246.3410462894057
1024,masked_nmf,1.041876589952771,254.2779550411068
1024,mice,0.982274777564657,274.63560388137176
1024,mice_extratrees,1.0259716852935927,318.8319326968757
1024,missforest,1.0335142227062746,296.34101431634457
1024,mean,1.0005183555970638,278.0041109318289
1024,median,1.0254200504215527,192.16233884144884
1337,knn_k10,0.9918795340535908,236.134043464999
1337,knn_k5,1.0488986889512049,235.8466408477997
1337,knn_k3,1.078059614480651,239.76385594293032
1337,softimpute,0.9786210984616495,231.26210575850845
1337,masked_nmf,1.0039078370108423,258.5166624858177
1337,mice,0.9574377065980808,266.91565375775696
1337,mice_extratrees,1.2239172056426757,340.93892120888665
1337,missforest,1.0113859836134558,249.98144646809007
1337,mean,1.0014140939618326,288.85688475057094
1337,median,1.0424670008397516,200.613353412364
2024,knn_k10,0.994016691490706,250.7076799191537
2024,knn_k5,1.004458959142203,258.54889057474946
2024,knn_k3,1.067170365539695,275.0064931929208
2024,softimpute,0.9844362890531436,241.39910123389114
2024,masked_nmf,0.9951585345845122,268.53100919061205
2024,mice,0.9597975490888828,254.984873877838
2024,mice_extratrees,1.0742237605744105,361.5261730942977
2024,missforest,1.0348528962994317,331.34867840524754
2024,mean,1.0017740471465717,283.47959261538574
2024,median,1.038110747147874,212.2975035077106
7,knn_k10,0.9851336743438546,256.37754761991334
7,knn_k5,0.9997994421962472,261.6771496570732
7,knn_k3,1.0045145101746218,264.13634825489254
7,softimpute,0.9767263917396636,233.56992116920648
7,masked_nmf,1.019343889580576,265.1173050314546
7,mice,0.9572589100784964,282.427831061503
7,mice_extratrees,1.135177565537392,375.92347177112254
7,missforest,1.0316235631076052,342.97244646648784
7,mean,1.00147289754848,296.2943330350632
7,median,1.0366069890039973,210.48122764257724
99,knn_k10,1.0213058170540168,305.2106646118981
99,knn_k5,1.0445649132035668,309.7178433209645
99,knn_k3,1.0430697682242365,306.44993311327244
99,softimpute,0.994429314619046,272.14422976162234
99,masked_nmf,1.0433837436278126,282.94057675903633
99,mice,0.943730785841487,321.69551783201547
99,mice_extratrees,1.4096249288225993,424.8896481946871
99,missforest,1.145648392144928,341.68074174319634
99,mean,1.0025677482947577,290.6198670017371
99,median,1.0563998500866332,233.6639242987657
555,knn_k10,0.9712573476047512,240.18349977057625
555,knn_k5,1.0229707179951633,238.95340314930803
555,knn_k3,1.0298404702255946,236.19294408535887
555,softimpute,1.0700829149704125,238.24411315196716
555,masked_nmf,1.05632085683859,261.46238939879856
555,mice,1.0176254502088824,261.2051951001277
555,mice_extratrees,1.540152917446162,406.4176674144397
555,missforest,1.0419068025826206,302.37820704360394
555,mean,1.002709236436546,274.47643936252547
555,median,1.0379342938384934,190.77304240973027
31337,knn_k10,0.9754045787817304,230.62580028154392
31337,knn_k5,0.9861526464636992,232.73423475517785
31337,knn_k3,0.99306815321338,236.40629999952932
31337,softimpute,0.9978504019371673,253.46046230488815
31337,masked_nmf,1.0186793079418308,266.4677460993459
31337,mice,0.9710993524737874,307.99390424184594
31337,mice_extratrees,1.229308667129206,348.7987964465322
31337,missforest,1.0554349098062756,368.6860049096032
31337,mean,1.0045171242814823,286.6691904641755
31337,median,1.04717624847127,216.9732373035748
