dataset,classifier,acc_mean,acc_std
TKPI,lr,0.379825327510917,0.005530529327157229
TKPI,nb,0.10026200873362445,0.004726568557229098
TKPI,rf,0.43344978165938863,0.00552439621817088
USDA,lr,0.2018733578105843,0.0007969982069253456
USDA,nb,0.04605382964129766,0.0008039379884533238
USDA,rf,0.21926049498501804,0.00105468003422489
