method,nrmse,clf_acc,clf_f1,cov_relerr,prec_relerr,rank_nrmse,rank_acc,rank_f1,rank_cov,rank_prec
missforest,0.9857944325217529,0.7933333333333333,0.5812402937791482,0.572560934332463,0.9345053229792641,1.0,1.0,1.0,1.0,8.0
knn_k10,1.0049237270486537,0.7438095238095238,0.5136268112831359,0.5951831893043715,0.5842054977264055,2.0,4.0,3.0,3.0,3.0
mean,1.012541971289521,0.7419047619047618,0.5122107456526961,0.6506787286959965,0.6358990652017282,3.0,6.0,4.0,4.0,4.0
masked_nmf,1.0330559917116773,0.5638095238095238,0.3389610192729609,0.8077297626986983,11.62380791297183,4.0,9.0,9.0,9.0,9.0
mice,1.0353192008596794,0.7676190476190475,0.5424094940376674,0.594606021872686,0.8203414123962631,5.0,2.0,2.0,2.0,5.0
median,1.057095372840881,0.74,0.5007087678575294,0.6547679613819515,0.5786856316745167,6.0,7.0,7.0,5.0,2.0
softimpute,1.1312358523872459,0.741904761904762,0.5018698758184826,0.6757727091715934,0.9070181130580816,7.0,5.0,6.0,7.0,7.0
iterativesvd,1.156397688414425,0.7457142857142858,0.5024790388318252,0.7641931646498719,0.8333288282529386,8.0,3.0,5.0,8.0,6.0
pica,1.179239423970376,0.700952380952381,0.46162346608213484,0.6604315484374382,0.45950895203361897,9.0,8.0,8.0,6.0,1.0
